DMS_id,uniprot_acc,n_subs,AlphaMissense_cov,VARITY_R_LOO_cov,gMVP_cov,n_common,frac_common,AlphaMissense_rho,VARITY_R_LOO_rho,gMVP_rho
A4_HUMAN_Seuma_2022,P05067,796,1.0,0.3838383838383838,0.3838383838383838,342,0.3838383838383838,0.3430338041002021,0.19415487327757894,0.47035590435991953
ACE2_HUMAN_Chan_2020,Q9BYF1,2223,1.0,0.4049489395129615,0.4049489395129615,1031,0.4049489395129615,0.20780404850615178,0.2481090142647749,0.18802213001534576
ADRB2_HUMAN_Jones_2020,P07550,7800,1.0,0.3882729454794834,0.3882729454794834,3397,0.3882729454794834,0.4599598993983859,0.474424696429512,0.4676543551184136
BRCA1_HUMAN_Findlay_2018,P38398,1837,1.0,1.0,0.3958969882147534,907,0.3958969882147534,0.5010169918899184,0.47613107027203894,0.4623694948917815
CAR11_HUMAN_Meitlis_2020_gof,Q9BXL7,2374,1.0,0.41660516605166054,0.41660516605166054,1129,0.41660516605166054,0.22586800701622292,0.37803415785047634,0.23209867874970624
CAR11_HUMAN_Meitlis_2020_lof,Q9BXL7,2395,1.0,0.41633101428048336,0.41633101428048336,1137,0.41633101428048336,0.39142795538266156,0.5375835663777838,0.42949441322921617
CBS_HUMAN_Sun_2020,P35520,7217,1.0,0.3571885802073998,0.3571885802073998,2790,0.3571885802073998,0.35427524988286807,0.3996281101854923,0.37910167021298397
CCR5_HUMAN_Gill_2023,P51681,6137,1.0,0.39168584579976984,0.39168584579976984,2723,0.39168584579976984,0.2589169964595275,0.1978685245797266,0.15136453593223478
CD19_HUMAN_Klesmith_2019_FMC_singles,P15391,3761,1.0,0.4782608695652174,0.4782608695652174,2079,0.4782608695652174,0.14068393172096816,0.19687947436728026,0.20766561003974074
CP2C9_HUMAN_Amorosi_2021_abundance,P11712,6370,1.0,0.42716723549488056,0.42716723549488056,3129,0.42716723549488056,0.5416969481996166,0.5857200979721614,0.4479608129475363
